related_law,질문,답변
"['실내공기질 관리법 5조', '실내공기질 관리법 시행령 4조의3', '실내공기질 관리법 시행규칙 3조']","다음 달부터 아기가 어린이집에 다니게 되었어요. 아기가 기관지가 약한데, 어린이집에도 미세먼지 등 공기오염물질을 관리하는 기준이 있나요?","네, 있습니다. 어린이, 노인, 임산부 등 오염물질에 노출될 경우 건강피해 우려가 큰 취약계층이 주로 이용하는 다중이용시설의 소유자·점유자 또는 관리자 등 관리책임이 있는 자(이하 “소유자등”이라 함)는 다중이용시설 내부의 쾌적한 공기질을 유지하기 위해 기준에 맞게 시설을 관리해야 합니다.
☞ 어린이, 노인, 임산부 등 오염물질에 노출될 경우 건강피해 우려가 큰 취약계층이 주로 이용하는 의료기관, 산후조리원, 노인요양시설, 어린이집, 실내 어린이놀이시설에 대하여는 다음과 같은 엄격한 공기질 유지기준이 적용됩니다.
☞ 특별시·광역시·특별자치시·도 또는 특별자치도(이하 “시·도”라 함)는 지역환경의 특수성을 고려하여 필요하다고 인정하는 때에는 그 시·도의 조례로 위에 따른 공기질 유지기준보다 엄격하게 해당 시·도에 적용할 공기질 유지기준을 정할 수 있습니다.
오염물질 항목    다중이용시설 | 미세 먼지 (PM-10) (㎍/㎥) | 미세 먼지 (PM-2.5) (㎍/㎥) | 이산화탄소 (ppm) | 폼알데하이드 (㎍/㎥) | 총 부유 세균 (CFU/㎥) | 일산화탄소 (ppm)
의료기관, 산후조리원, 노인요양시설, 어린이집, 실내 어린이놀이시설 | 75 이하 | 35 이하 | 1,000 이하 | 80 이하 | 800 이하 | 10 이하"
"['실내공기질 관리법 11조', '실내공기질 관리법 시행규칙 10조']","산후조리원을 운영하고 있습니다. 일부시설을 보수하려 하는데, 산모와 아기가 이용하는 곳이니만큼 새집증후군이 발생하지 않는 건축자재를 사용하려 합니다. 어떤 건축자재들의 사용이 금지되나요?","폼알데하이드, 톨루엔 등의 오염물질을 기준치를 초과하여 방출하는 접착제, 페인트, 실란트 등의 건축자재 사용이 금지됩니다.
☞ 폼알데하이드, 톨루엔, 총휘발성 유기화합물의 오염물질을 기준치를 초과하여 방출하는 다음 중 어느 하나에 해당하는 건축자재를 사용해서는 안 됩니다.
오염물질 종류 구분 | 폼알데하이드 | 톨루엔 | 총휘발성 유기화합물
접착제 | 0.02 이하 | 0.08 이하 | 2.0 이하
2. 페인트 | 0.02 이하 | 0.08 이하 | 2.5 이하
3. 실란트 | 0.02 이하 | 0.08 이하 | 1.5 이하
4. 퍼티 | 0.02 이하 | 0.08 이하 | 20.0 이하
5. 벽지 | 0.02 이하 | 0.08 이하 | 4.0 이하
6. 바닥재 | 0.02 이하 | 0.08 이하 | 4.0 이하
7. 목질판상제품 | 1) 2021년 12월 31일까지 적용되는 기준 | 0.12 이하 | 0.08 이하 | 0.8 이하
2) 2022년 1월 1일부터 적용되는 기준 | 0.05 이하 | 0.08 이하 | 0.4 이하"
"['감염병의 예방 및 관리에 관한 법률 51조', '감염병의 예방 및 관리에 관한 법률 83조', '감염병의 예방 및 관리에 관한 법률 시행령 24조', '감염병의 예방 및 관리에 관한 법률 시행규칙 36조']","약 300명 정도의 원아가 다니는 유치원을 운영하고 있습니다. 감염병 예방에 필요한 소독을 해야 한다던데, 얼마나 자주 소독을 해야 하는지, 소독을 하지 않을 경우 어떤 불이익을 받게 되는지 궁금합니다.","50명 이상을 수용하는 유치원은 2개월 또는 3개월에 한 번씩 소독을 실시해야 하며, 이 기준에 따라 소독을 실시하지 않을 경우 과태료를 부과받습니다.
☞ 다음의 소독횟수 기준에 따라 소독을 해야 합니다.
☞ 소독을 해야 하는 시설의 관리·운영자가 위 기준에 따라 소독을 실시하지 않으면 100만원 이하의 과태료를 부과받습니다.
시설 | 소독횟수
4월부터 9월까지 | 10월부터 3월까지
50명 이상을 수용하는 어린이집 및 유치원 | 1회 이상/ 2개월 | 1회 이상/ 3개월"
['건축법 2조'],쇠 파이프를 땅에 고정시켜 기둥을 세우고 천막으로 지붕처럼 덮었는데 이것도 건축물에 해당하나요?,"네, 건축물에 해당할 수 있습니다.
☞ 건축물이란 토지에 정착(定着)하는 공작물 중 지붕과 기둥 또는 벽이 있는 것과 이에 딸린 시설물(예. 담장·대문 등), 지하나 고가(高架)의 공작물에 설치하는 사무소·공연장·점포·차고·창고 등을 말합니다.
☞ 또한 건축물은 토지에 정착하는 공작물 중 지붕과 기둥·벽이 있는 것과 부수시설물을 말하는 것으로서 이 경우 토지에 “정착”한다는 의미는 대지의 범위가 확정되어 건축(설치)된 시설물 등이 사실상 이동이 불가능하거나, 이동이 가능하다 할지라도 이동의 실익이 없어 상당기간 현저한 이동이 추정되지 않는 경우까지 확대할 수 있습니다.
☞ 따라서 토지에 잘 정착되어 있고, 지붕과 기둥이 있으면 벽이 없더라도 건축물에 해당할 수 있습니다."
"['건축법 2조', '건축법 시행령 3조의2']",다가구주택의 가구 간 경계벽을 증설하여 가구 수를 늘리는 것이 대수선에 해당하나요?,"네, 대수선에 해당합니다.
☞ 대수선이란 건축물의 기둥, 보, 내력벽, 주계단 등의 구조나 외부 형태를 수선·변경하거나 증설·해체하는 것으로서 증축, 개축 또는 재축에 해당하지 않는 건축행위를 말합니다.
☞ 「건축법」에는 대수선의 범위에는 “다가구주택의 가구 간 경계벽 또는 다세대주택의 세대 간 경계벽을 증설 또는 해체하거나 수선 또는 변경하는 것”으로 되어 있습니다."
"['건축법 79조', '건축법 80조', '건축법 85조']",「건축법」을 위반하여 건축물을 만들면 어떤 제재를 받나요?,"「건축법」을 위반하여 건축 등 행위를 하면 다음과 같은 행정상 제재를 받게 됩니다.
☞ 시정명령
☞ 영업허가 금지 등 불이익 처분
☞ 행정대집행
☞ 이행강제금"
"['건축법 79조', '건축법 80조', '건축법 85조']","베란다를 불법 증축한 경우, 이행강제금은 어떻게 계산하나요?","「건축법」을 위반하여 건축물을 만든 경우, 이행강제금은 다음과 같이 계산합니다.
☞ 위법한 증축에 대한 이행강제금은 「지방세법」에 따라 해당 건축물에 적용되는 1제곱미터의 시가표준액의 100분의 50에 해당하는 금액에 위반면적을 곱한 금액 이하의 범위에서 위반 내용에 따른 비율을 곱한 금액(「건축법」 제80조제1항제1호 및 「건축법 시행령」 제115조의3제1항)이 됩니다."
"['건축법 80조', '건축법 80조의2', '건축법 115조의3', '건축법 115조의4']","「건축법」을 위반하여 대수선을 한 경우, 이행강제금은 어떻게 계산하나요?","「건축법」을 위반하여 대수선을 한 경우, 이행강제금은 다음과 같이 계산합니다.
☞ 이행강제금 계산식: 시가표준액, 위반면적과 부과 요율, 감경률 및 가중률 등을 곱합니다.
☞ 부과요율: 100분의 10입니다. 그러나 2012년 3월 17일 전에 대수선 위반행위를 하였다면 100분의 3이 됩니다.
☞ 가중률: 임대 등 영리 목적인 경우에 다세대주택의 5세대 또는 다가구주택의 5가구 이상 증가시킨 경우라면 100분의 100의 가중률이 적용됩니다. 그러나 해당 위반건축물의 소유권을 이전받은 경우에는 가중률이 적용되지 않습니다.
☞ 위반 동기, 위반 범위 및 위반 시기 등의 감경률: 위반행위 후 소유권이 변경된 경우, 임차인이 있어 현실적으로 임대기간 중에 위반내용을 시정하기 어려운 경우 등에는 2분의 1 감경을 받을 수 있습니다."
"['건축법 80조', '건축법 80조의2', '건축법 115조의3', '건축법 115조의4']",「건축법」을 위반하여 용도변경을 하면 제재를 받는다고 하는데 예를 들면 어떤 것들이 있나요?,"용도변경은 하위군(건축기준이 약한 시설군)에 속하는 건축물의 용도를 상위군 시설에 해당하는 용도로 변경하는 경우에는 허가 대상이고, 상위군 시설에 속하는 건축물의 용도를 하위군(건축기준이 약한 시설군)에 해당하는 용도로 변경하는 경우에는 신고 대상입니다.
☞ 지상 1층 근린생활시설(「건축법 시행령」 제14조제5항제7호 근린생활시설군)을 주거용(「건축법 시행령」 제14조제5항제8호 주거·업무시설군)으로 개조하여 사용하는 경우(용도변경 신고 위반)
☞ 독서실(「건축법 시행령」 제14조제5항제7호 근린생활시설군)을 고시원(「건축법 시행령」 제14조제5항제5호 영업시설군)으로 사용하는 경우(용도변경 허가 위반)
☞ 고시원 개별 호실(「건축법 시행령」 제14조제5항제5호 영업시설군)에 취사시설(「건축법 시행령」 제14조제5항제8호 주거·업무시설군)을 설치한 경우(용도변경 신고 위반)
☞ 무도장(「건축법 시행령」 제14조제5항제4호 문화 및 집회시설군)을 태권도 도장(규모에 따라 「건축법 시행령」 제14조제5항제5호 영업시설군 또는 「건축법 시행령」 제14조제5항제7호 근린생활시설군)으로 사용하는 경우(용도변경 신고 위반)"
"['개발제한구역의 지정 및 관리에 관한 특별조치법 시행령 41조의2', '개발제한구역의 지정 및 관리에 관한 특별조치법 30조의2']","「개발제한구역의 지정 및 관리에 관한 특별조치법」을 위반하여 건축이나 용도변경을 하면 허가대상인지, 신고대상인지에 따라 이행강제금이 다르게 부과되던데 어떻게 다른가요?","네, 개발제한구역 내에서 위법한 건축이나 용도변경을 하면 허가대상이 신고대상보다 2배 많은 이행강제금을 부과 받게 됩니다.
☞ 허가 또는 신고의무 위반행위가 건축물의 건축 또는 용도변경인 경우: 해당 건축물에 적용되는 「지방세법」에 따른 건축물 시가표준액의 100분의 50의 범위에서 다음의 정하는 금액에 위반행위에 이용된 건축물의 연면적을 곱한 금액
※ 이행강제금 금액은 다음의 구분에 따라 가중 또는 감경할 수 있습니다.
위반행위 | 허가사항 위반 이행강제금 | 신고사항 위반 이행강제금
건축물의 건축 | 건물시가표준액×위반면적×50/100 | 건물시가표준액×위반면적×25/100
건축물의 용도변경 | 건물시가표준액×위반면적×30/100 | 건물시가표준액×위반면적×15/100"
"['공공주택 특별법 2조', '공공주택 특별법 시행령 2조']",공공임대주택을 찾아보니 종류가 많아서 헷갈립니다. 임대주택마다 무엇이 다른가요?,"공공임대주택은 영구임대주택, 국민임대주택, 행복주택, 통합공공임대주택, 장기전세주택, 분양전환공공임대주택, 기존주택등매입임대주택, 기존주택전세임대주택이 있으며 각각의 임대주택은 다음과 같습니다.
☞ 영구임대주택 : 국가나 지방자치단체의 재정을 지원받아 최저소득 계층의 주거안정을 위하여 50년 이상 또는 영구적인 임대를 목적으로 공급하는 공공임대주택을 말합니다.
☞ 국민임대주택 : 국가나 지방자치단체의 재정이나 「주택도시기금법」에 따른 주택도시기금의 자금을 지원받아 저소득 서민의 주거안정을 위하여 30년 이상 장기간 임대를 목적으로 공급하는 공공임대주택을 말합니다.
☞ 행복주택 : 국가나 지방자치단체의 재정이나 주택도시기금의 자금을 지원받아 대학생, 사회초년생, 신혼부부 등 젊은 층의 주거안정을 목적으로 공급하는 공공임대주택을 말합니다.
☞ 통합공공임대주택 : 국가나 지방자치단체의 재정이나 주택도시기금의 자금을 지원받아 최저소득 계층, 저소득 서민, 젊은 층 및 장애인·국가유공자 등 사회 취약계층 등의 주거안정을 목적으로 공급하는 공공임대주택을 말합니다.
☞ 장기전세주택 : 국가나 지방자치단체의 재정이나 주택도시기금의 자금을 지원받아 전세계약의 방식으로 공급하는 공공임대주택을 말합니다.
☞ 분양전환공공임대주택 : 일정 기간 임대 후 분양전환할 목적으로 공급하는 공공임대주택을 말합니다.
☞ 기존주택등매입임대주택 : 국가나 지방자치단체의 재정이나 주택도시기금의 자금을 지원받아 기존주택을 매입하여 「국민기초생활 보장법」에 따른 수급자 등 저소득층과 청년 및 신혼부부 등에게 공급하는 공공임대주택을 말합니다.
☞ 기존주택전세임대주택 : 국가나 지방자치단체의 재정이나 주택도시기금의 자금을 지원받아 기존주택을 임차하여 「국민기초생활 보장법」에 따른 수급자 등 저소득층과 청년 및 신혼부부 등에게 전대(轉貸)하는 공공임대주택을 말합니다."
['주택공급에 관한 규칙 2조'],공공임대주택 입주자 모집공고에 나오는 무주택세대구성원은 무엇인가요?,"“무주택세대구성원”이란 세대원 전원이 주택을 소유하고 있지 않은 세대의 구성원을 말하며 “세대원”이란 다음의 사람[주택공급신청자(이하 “신청자”라 함)가 세대별 주민등록표에 등재되어 있지 않은 경우는 제외)을 말합니다.
세대구성원(자격검증대상) | 비고
신청자 | -
신청자의 배우자 | -
신청자의 직계존속 신청자의 배우자의 직계존속 | 주신청자 또는 주택공급신청자의 배우자와 같은 세대별 주민등록표에 등재되어 있는 사람
신청자의 직계비속 신청자의 직계비속의 배우자 | 신청자 또는 신청자의 배우자와 세대별 주민등록표에 함께 등재되어 있는 사람
신청자의 배우자의 직계비속 신청자의 배우자의 직계비속의 배우자 | 신청자와 세대별 주민등록표상에 함께 등재되어 있는 사람에 한함"
['공공주택 특별법 시행규칙 14조'],"저는 대학생이고 현재 아버지와 같이 생활하고 있습니다. 이번에 영구임대주택 입주 공고가 올라와서 살펴보던 중 우선공급 대상에 국가유공자도 포함이 되더라구요. 아버지가 국가유공자이신데, 우선공급으로 신청해도 될까요.","신청하셔도 됩니다. 영구임대주택 우선공급은 국가유공자, 국군포로, 수급자인 신혼부부, 65세 이상 고령자를 대상으로 합니다.
☞ 해당 세대의 월평균소득이 전년도 도시근로자 가구당 월평균소득의 70% 이하(가구원 수가 1명인 경우에는 90%, 2명인 경우에는 80%)이고, 무주택세대구성원으로서 국가보훈처장이 영구임대주택 입주가 필요하다고 인정하는 다음에 해당하는 공급신청자의 경우에는 일반공급에 따른 입주자선정 순위와 상관없이 그 건설량의 10%를 1세대 1주택의 기준으로 우선 공급받을 수 있습니다.
① 국가유공자 또는 그 유족
② 보훈보상대상자 또는 그 유족
③ 5·18 민주유공자 또는 그 유족
④ 특수임무유공자 또는 그 유족
⑤ 참전유공자
⑥ 종전의 「국가유공자 등 예우 및 지원에 관한 법률」(법률 제11041호로 개정되기 전의 것을 말함) 제73조의2에 따라 국가유공자에 준하는 군경 등으로 등록된 사람 또는 그 유족
☞ 공급신청자 중 입주자로 선정되지 못한 사람에 대해서는 별도의 신청절차 없이 일반공급 신청자에 포함됩니다
※ 국가유공자에 대한 영구임대주택의 우선공급에 대한 규정은 2024년 3월 31일까지 효력을 갖습니다."
['공공주택 특별법 시행규칙 15조'],국민임대주택 일반공급 입주자 모집공고가 나서 신청을 하려고 합니다. 공급면적에 따라 조건이 다르게 나와 있어서 헷갈리네요. 전용면적이 70㎡인 경우 입주자격이 궁금합니다.,"국민임대주택 입주자 모집공고일 현재 무주택세대구성원으로서 전용면적 60㎡를 초과하는 국민임대주택의 경우 다음의 입주 자격을 갖추어야 합니다.
☞ 해당 세대의 월평균소득이 전년도 도시근로자 가구원수별 가구당 월평균소득의 100%(가구원 수가 1명인 경우에는 120%, 2명인 경우에는 110%) 이하인 사람
☞ 경쟁시 아래 순위에 따라 입주자를 선정하며, 동일 순위에서는 해당 주택이 건설되는 시·군·자치구 거주자에게 우선공급할 수 있음"
['공공주택 특별법 시행규칙 17조'],"1년 전에 행복주택에 당첨되어 입주하고 있습니다. 내년에 결혼을 하는데, 혼인신고를 하여 배우자가 제가 사는 행복주택으로 전입하면 거주기간이 달라지나요?","행복주택의 임대차계약은 2년마다 갱신하여야 하며, 청년을 비롯한 행복주택 입주자의 최대 거주기간은 다음과 같습니다.
☞ 대학생 및 청년: 10년
☞ 신혼부부, 한부모가족, 창업지원주택·지역전략산업지원주택의 입주자 또는 장기근속자: 자녀(태아를 포함) 수를 기준으로 아래에서 정한 기간
☞ 주거급여수급자: 20년
☞ 고령자: 20년
☞ 산업단지 근로자: 10년(자녀가 1명 이상인 경우 14년)
☞ 행복주택 사업을 위해 철거하는 주택의 소유자 또는 세입자 중 행복주택의 공급을 신청한 입주자: 20년
☞ 청년인 행복주택 입주자가 거주하는 중 신혼부부의 입주자격을 갖추는 경우에는 공급대상을 변경하여 새로 계약을 할 수 있으며, 새로 계약을 하는 시점부터 변경된 공급대상의 최대 거주기간이 새로 적용됩니다
☞ 다만, 거주기간을 새로 적용하는 것은 자격이 변동되는 경우에 한하며 해당 행복주택 입주자의 전체 거주기간은 10년을 초과할 수 없습니다"
['공공주택 특별법 시행규칙 17조의2'],"저는 5살 딸이 있는 미혼모입니다. 통합공공임대주택으로 입주신청을 하고 싶은데, 자격 요건이 어떻게 되는지 궁금합니다.","통합공공임대주택은 입주자모집공고일 현재 한부모가족 등의 구분에 따라 해당 자격 요건을 만족하는 사람에게 1세대 1주택의 기준으로 공급하고 있습니다.
☞ 한부모가족으로서 다음의 요건을 모두 갖춘 사람은 통합공공임대주택 입주를 신청할 수 있습니다."
['공공주택 특별법 시행규칙 18조'],"얼마 전 공공임대주택 중 장기전세임대주택 신청을 했는데 탈락됐습니다. 입주 요건에 나온 자격요건과 관련 서류들도 다 제출했는데, 다른 기준이 있는 것인지, 그 기준이 있다면 어떤 기준으로 입주자가 선정되는지 궁금합니다.","장기전세임대주택의 입주자 신청 시 같은 순위 안에서 경쟁이 있는 경우에는 다음의 내용이 포함된 기준을 별도로 정하여 입주자를 선정할 수 있습니다.
① 주택청약종합저축 가입기간 또는 납입횟수·금액
② 무주택기간
③ 해당 주택건설지역 거주기간
④ 과거 장기전세주택 입주자 선정 여부
⑤ 그 밖에 공공주택사업자가 필요하다고 판단하는 사항
※ 위 입주자 선정방법에도 불구하고 국토교통부장관, 지방자치단체 및 공공주택사업자는 ①부터 ⑤까지의 사항을 고려하여 별도로 정해진 우선공급대상자 및 입주자선정을 위한 가점·감점기준에 따라 장기전세주택 전체 건설량의 10% 범위에서 우선공급할 수 있습니다."
