키워드,법령명,조문 번호,조문 내용
근로,가사근로자의 고용개선 등에 관한 법률,26조 ③항 2호,"제26조(벌칙)
③ 다음 각 호의 어느 하나에 해당하는 자는 500만원 이하의 벌금에 처한다.
2. 제14조제1항 또는 제2항을 위반하여 근로계약에 해당 사항을 명시하지 아니하거나 해당 사항이 명시된 서면을 교부하지 아니한 자"
근로,가사근로자의 고용개선 등에 관한 법률,12조 1호,"제12조(아동의 보호ㆍ양육 서비스 제공 가사근로자의 결격사유) 가사서비스 제공기관은 다음 각 호의 어느 하나에 해당하는 가사근로자에게 만 12세 이하 아동의 보호ㆍ양육 서비스를 제공하게 하여서는 아니 된다.
1. 미성년자ㆍ피성년후견인 또는 피한정후견인"
근로,가사근로자의 고용개선 등에 관한 법률,12조 2호,"제12조(아동의 보호ㆍ양육 서비스 제공 가사근로자의 결격사유) 가사서비스 제공기관은 다음 각 호의 어느 하나에 해당하는 가사근로자에게 만 12세 이하 아동의 보호ㆍ양육 서비스를 제공하게 하여서는 아니 된다.
2. 정신질환자"
근로,가사근로자의 고용개선 등에 관한 법률,12조 3호,"제12조(아동의 보호ㆍ양육 서비스 제공 가사근로자의 결격사유) 가사서비스 제공기관은 다음 각 호의 어느 하나에 해당하는 가사근로자에게 만 12세 이하 아동의 보호ㆍ양육 서비스를 제공하게 하여서는 아니 된다.
3. 마약ㆍ대마 또는 향정신성의약품 중독자"
근로,가사근로자의 고용개선 등에 관한 법률,12조 4호,"제12조(아동의 보호ㆍ양육 서비스 제공 가사근로자의 결격사유) 가사서비스 제공기관은 다음 각 호의 어느 하나에 해당하는 가사근로자에게 만 12세 이하 아동의 보호ㆍ양육 서비스를 제공하게 하여서는 아니 된다.
4. 금고 이상의 실형을 선고받고 그 집행이 끝나거나(집행이 끝난 것으로 보는 경우를 포함한다) 면제된 날부터 3년이 지나지 아니한 사람"
근로,가사근로자의 고용개선 등에 관한 법률,12조 5호,"제12조(아동의 보호ㆍ양육 서비스 제공 가사근로자의 결격사유) 가사서비스 제공기관은 다음 각 호의 어느 하나에 해당하는 가사근로자에게 만 12세 이하 아동의 보호ㆍ양육 서비스를 제공하게 하여서는 아니 된다.
5. 금고 이상의 형의 집행유예를 선고받고 그 유예기간 중에 있는 사람"
근로,가사근로자의 고용개선 등에 관한 법률,12조 6호,"제12조(아동의 보호ㆍ양육 서비스 제공 가사근로자의 결격사유) 가사서비스 제공기관은 다음 각 호의 어느 하나에 해당하는 가사근로자에게 만 12세 이하 아동의 보호ㆍ양육 서비스를 제공하게 하여서는 아니 된다.
6. 「아동복지법」 제17조 위반에 따른 같은 법 제71조제1항의 죄, 「성폭력범죄의 처벌 등에 관한 특례법」 제2조에 따른 성폭력범죄 또는 「아동ㆍ청소년의 성보호에 관한 법률」 제2조제2호에 따른 아동ㆍ청소년대상 성범죄를 범하여 형 또는 치료감호를 선고받고 그 형 또는 치료감호의 전부 또는 일부의 집행이 끝나거나 유예ㆍ면제된 날부터 10년이 지나지 아니한 사람"
근로,가사근로자의 고용개선 등에 관한 법률,12조 7호,"제12조(아동의 보호ㆍ양육 서비스 제공 가사근로자의 결격사유) 가사서비스 제공기관은 다음 각 호의 어느 하나에 해당하는 가사근로자에게 만 12세 이하 아동의 보호ㆍ양육 서비스를 제공하게 하여서는 아니 된다.
7. 「아동복지법」 제3조제7호의2에 따른 아동학대관련범죄로 금고 이상의 실형을 선고받고 그 집행이 종료되거나 면제된 날부터 20년이 지나지 아니한 사람"
근로,가사근로자의 고용개선 등에 관한 법률,12조 8호,"제12조(아동의 보호ㆍ양육 서비스 제공 가사근로자의 결격사유) 가사서비스 제공기관은 다음 각 호의 어느 하나에 해당하는 가사근로자에게 만 12세 이하 아동의 보호ㆍ양육 서비스를 제공하게 하여서는 아니 된다.
8. 「아동복지법」 제3조제7호의2에 따른 아동학대관련범죄로 금고 이상의 형의 집행유예를 선고받고 그 집행유예가 확정된 날부터 20년이 지나지 아니한 사람"
근로,가사근로자의 고용개선 등에 관한 법률,12조 9호,"제12조(아동의 보호ㆍ양육 서비스 제공 가사근로자의 결격사유) 가사서비스 제공기관은 다음 각 호의 어느 하나에 해당하는 가사근로자에게 만 12세 이하 아동의 보호ㆍ양육 서비스를 제공하게 하여서는 아니 된다.
9. 「아동복지법」 제3조제7호의2에 따른 아동학대관련범죄로 벌금형을 선고받고 그 형이 확정된 날부터 10년이 지나지 아니한 사람"
근로,근로기준법,3조,제3조(근로조건의 기준) 이 법에서 정하는 근로조건은 최저기준이므로 근로 관계 당사자는 이 기준을 이유로 근로조건을 낮출 수 없다.
근로,근로기준법,13조,"제13조(보고, 출석의 의무) 사용자 또는 근로자는 이 법의 시행에 관하여 고용노동부장관ㆍ「노동위원회법」에 따른 노동위원회(이하 ""노동위원회""라 한다) 또는 근로감독관의 요구가 있으면 지체 없이 필요한 사항에 대하여 보고하거나 출석하여야 한다. <개정 2010.6.4>"
근로,근로기준법,23조 ①항,"제23조(해고 등의 제한)
① 사용자는 근로자에게 정당한 이유 없이 해고, 휴직, 정직, 전직, 감봉, 그 밖의 징벌(懲罰)(이하 ""부당해고등""이라 한다)을 하지 못한다."
근로,근로기준법,23조 ②항,"제23조(해고 등의 제한)
② 사용자는 근로자가 업무상 부상 또는 질병의 요양을 위하여 휴업한 기간과 그 후 30일 동안 또는 산전(産前)ㆍ산후(産後)의 여성이 이 법에 따라 휴업한 기간과 그 후 30일 동안은 해고하지 못한다. 다만, 사용자가 제84조에 따라 일시보상을 하였을 경우 또는 사업을 계속할 수 없게 된 경우에는 그러하지 아니하다."
근로,근로기준법,33조 ①항,"제33조(이행강제금)
① 노동위원회는 구제명령(구제명령을 내용으로 하는 재심판정을 포함한다. 이하 이 조에서 같다)을 받은 후 이행기한까지 구제명령을 이행하지 아니한 사용자에게 3천만원 이하의 이행강제금을 부과한다. <개정 2021.5.18>"
근로,근로기준법,33조 ②항,"제33조(이행강제금)
② 노동위원회는 제1항에 따른 이행강제금을 부과하기 30일 전까지 이행강제금을 부과ㆍ징수한다는 뜻을 사용자에게 미리 문서로써 알려 주어야 한다."
근로,근로기준법,33조 ③항,"제33조(이행강제금)
③ 제1항에 따른 이행강제금을 부과할 때에는 이행강제금의 액수, 부과 사유, 납부기한, 수납기관, 이의제기방법 및 이의제기기관 등을 명시한 문서로써 하여야 한다."
근로,근로기준법,33조 ④항,"제33조(이행강제금)
④ 제1항에 따라 이행강제금을 부과하는 위반행위의 종류와 위반 정도에 따른 금액, 부과ㆍ징수된 이행강제금의 반환절차, 그 밖에 필요한 사항은 대통령령으로 정한다."
근로,근로기준법,33조 ⑤항,"제33조(이행강제금)
⑤ 노동위원회는 최초의 구제명령을 한 날을 기준으로 매년 2회의 범위에서 구제명령이 이행될 때까지 반복하여 제1항에 따른 이행강제금을 부과ㆍ징수할 수 있다. 이 경우 이행강제금은 2년을 초과하여 부과ㆍ징수하지 못한다."
근로,근로기준법,33조 ⑥항,"제33조(이행강제금)
⑥ 노동위원회는 구제명령을 받은 자가 구제명령을 이행하면 새로운 이행강제금을 부과하지 아니하되, 구제명령을 이행하기 전에 이미 부과된 이행강제금은 징수하여야 한다."
근로,근로기준법,33조 ⑦항,"제33조(이행강제금)
⑦ 노동위원회는 이행강제금 납부의무자가 납부기한까지 이행강제금을 내지 아니하면 기간을 정하여 독촉을 하고 지정된 기간에 제1항에 따른 이행강제금을 내지 아니하면 국세 체납처분의 예에 따라 징수할 수 있다."
근로,근로기준법,33조 ⑧항,"제33조(이행강제금)
⑧ 근로자는 구제명령을 받은 사용자가 이행기한까지 구제명령을 이행하지 아니하면 이행기한이 지난 때부터 15일 이내에 그 사실을 노동위원회에 알려줄 수 있다."
근로,근로기준법,43조,제3장 임금
근로,근로기준법,43조 ①항,"제43조(임금 지급)
① 임금은 통화(通貨)로 직접 근로자에게 그 전액을 지급하여야 한다. 다만, 법령 또는 단체협약에 특별한 규정이 있는 경우에는 임금의 일부를 공제하거나 통화 이외의 것으로 지급할 수 있다."
근로,근로기준법,43조 ②항,"제43조(임금 지급)
② 임금은 매월 1회 이상 일정한 날짜를 정하여 지급하여야 한다. 다만, 임시로 지급하는 임금, 수당, 그 밖에 이에 준하는 것 또는 대통령령으로 정하는 임금에 대하여는 그러하지 아니하다."
근로,근로기준법,43조 ①항,"제43조의2(체불사업주 명단 공개)
① 고용노동부장관은 제36조, 제43조, 제51조의3, 제52조제2항제2호, 제56조에 따른 임금, 보상금, 수당, 「근로자퇴직급여 보장법」 제12조제1항에 따른 퇴직급여등, 그 밖의 모든 금품(이하 ""임금등""이라 한다)을 지급하지 아니한 사업주(법인인 경우에는 그 대표자를 포함한다. 이하 ""체불사업주""라 한다)가 명단 공개 기준일 이전 3년 이내 임금등을 체불하여 2회 이상 유죄가 확정된 자로서 명단 공개 기준일 이전 1년 이내 임금등의 체불총액이 3천만원 이상인 경우에는 그 인적사항 등을 공개할 수 있다. 다만, 체불사업주의 사망ㆍ폐업으로 명단 공개의 실효성이 없는 경우 등 대통령령으로 정하는 사유가 있는 경우에는 그러하지 아니하다. <개정 2020.5.26, 2021.1.5, 2024.10.22>"
근로,근로기준법,43조 ②항,"제43조의2(체불사업주 명단 공개)
② 고용노동부장관은 제1항에 따라 명단 공개를 할 경우에 체불사업주에게 3개월 이상의 기간을 정하여 소명 기회를 주어야 한다."
근로,근로기준법,43조 ③항,"제43조의2(체불사업주 명단 공개)
③ 제1항에 따른 체불사업주의 인적사항 등에 대한 공개 여부 및 제43조의4에 따른 상습체불사업주에 관한 사항을 심의하기 위하여 고용노동부에 임금체불정보심의위원회(이하 이 조 및 제43조의4에서 ""위원회""라 한다)를 둔다. 이 경우 위원회의 구성ㆍ운영 등 필요한 사항은 고용노동부령으로 정한다. <개정 2024.10.22>"
근로,근로기준법,43조 ④항,"제43조의2(체불사업주 명단 공개)
④ 위원회 위원 중 공무원이 아닌 사람은 「형법」 제127조 및 제129조부터 제132조까지를 적용할 때에는 공무원으로 본다. <신설 2024.10.22>"
근로,근로기준법,43조 ⑤항,"제43조의2(체불사업주 명단 공개)
⑤ 제1항에 따른 명단 공개의 구체적인 내용, 기간 및 방법 등 명단 공개에 필요한 사항은 대통령령으로 정한다. <개정 2024.10.22>"
근로,근로기준법,43조 ①항 1호,"제43조의3(임금등 체불자료의 제공)
① 고용노동부장관은 「신용정보의 이용 및 보호에 관한 법률」 제25조제2항제1호에 따른 종합신용정보집중기관이 다음 각 호의 어느 하나에 해당하는 체불사업주의 인적사항과 체불액 등에 관한 자료(이하 ""임금등 체불자료""라 한다)를 요구할 때에는 임금등의 체불을 예방하기 위하여 필요하다고 인정하는 경우에 그 자료를 제공할 수 있다. 다만, 체불사업주의 사망ㆍ폐업으로 임금등 체불자료 제공의 실효성이 없는 경우 등 대통령령으로 정하는 사유가 있는 경우에는 그러하지 아니하다. <개정 2024.10.22>
1. 임금등 체불자료 제공일 이전 3년 이내 임금등을 체불하여 2회 이상 유죄가 확정된 자로서 임금등 체불자료 제공일 이전 1년 이내 임금등의 체불총액이 2천만원 이상인 체불사업주"
근로,근로기준법,43조 ①항 2호,"제43조의3(임금등 체불자료의 제공)
① 고용노동부장관은 「신용정보의 이용 및 보호에 관한 법률」 제25조제2항제1호에 따른 종합신용정보집중기관이 다음 각 호의 어느 하나에 해당하는 체불사업주의 인적사항과 체불액 등에 관한 자료(이하 ""임금등 체불자료""라 한다)를 요구할 때에는 임금등의 체불을 예방하기 위하여 필요하다고 인정하는 경우에 그 자료를 제공할 수 있다. 다만, 체불사업주의 사망ㆍ폐업으로 임금등 체불자료 제공의 실효성이 없는 경우 등 대통령령으로 정하는 사유가 있는 경우에는 그러하지 아니하다. <개정 2024.10.22>
2. 제43조의4에 따른 상습체불사업주"
근로,근로기준법,43조 ②항,"제43조의3(임금등 체불자료의 제공)
② 제1항에 따라 임금등 체불자료를 받은 자는 이를 체불사업주의 신용도ㆍ신용거래능력 판단과 관련한 업무 외의 목적으로 이용하거나 누설하여서는 아니 된다."
근로,근로기준법,43조 ③항,"제43조의3(임금등 체불자료의 제공)
③ 제1항에 따른 임금등 체불자료의 제공 절차 및 방법 등 임금등 체불자료의 제공에 필요한 사항은 대통령령으로 정한다."
근로,근로기준법,43조 ①항 1호,"제43조의4(상습체불사업주에 대한 보조ㆍ지원 제한 등)
① 고용노동부장관은 위원회의 심의를 거쳐 다음 각 호의 어느 하나에 해당하는 자(법인인 경우에는 그 대표자를 포함한다)를 상습체불사업주(이하 ""상습체불사업주""라 한다)로 정할 수 있다.
1. 임금등 체불자료 제공일이 속하는 연도의 직전 연도 1년간 근로자에게 임금등(「근로자퇴직급여 보장법」 제12조제1항에 따른 퇴직급여등은 제외한다)을 3개월분 임금 이상 체불한 사업주"
근로,근로기준법,43조 ①항 2호,"제43조의4(상습체불사업주에 대한 보조ㆍ지원 제한 등)
① 고용노동부장관은 위원회의 심의를 거쳐 다음 각 호의 어느 하나에 해당하는 자(법인인 경우에는 그 대표자를 포함한다)를 상습체불사업주(이하 ""상습체불사업주""라 한다)로 정할 수 있다.
2. 임금등 체불자료 제공일이 속하는 연도의 직전 연도 1년간 근로자에게 5회 이상 임금등을 체불하고, 체불총액이 3천만원 이상인 사업주"
근로,근로기준법,43조 ②항,"제43조의4(상습체불사업주에 대한 보조ㆍ지원 제한 등)
② 고용노동부장관은 제1항에 따라 상습체불사업주로 정할 경우에 해당 사업주에게 3개월 이상의 기간을 정하여 소명 기회를 주어야 한다."
근로,근로기준법,43조 ③항 1호,"제43조의4(상습체불사업주에 대한 보조ㆍ지원 제한 등)
③ 고용노동부장관은 중앙행정기관의 장, 지방자치단체의 장 또는 대통령령으로 정하는 공공기관의 장(이하 ""중앙행정기관장등""이라 한다)에게 상습체불사업주에 대하여 다음 각 호의 조치를 하도록 요청하고 임금등 체불자료를 제공할 수 있으며, 중앙행정기관장등이 다음 각 호의 조치를 목적으로 상습체불사업주의 임금등 체불자료를 요청하는 경우 해당 자료를 제공할 수 있다.
1. 「보조금 관리에 관한 법률」, 「지방자치단체 보조금 관리에 관한 법률」 또는 개별 법률에 따른 각종 보조ㆍ지원사업의 참여 배제나 수급 제한"
근로,근로기준법,43조 ③항 2호,"제43조의4(상습체불사업주에 대한 보조ㆍ지원 제한 등)
③ 고용노동부장관은 중앙행정기관의 장, 지방자치단체의 장 또는 대통령령으로 정하는 공공기관의 장(이하 ""중앙행정기관장등""이라 한다)에게 상습체불사업주에 대하여 다음 각 호의 조치를 하도록 요청하고 임금등 체불자료를 제공할 수 있으며, 중앙행정기관장등이 다음 각 호의 조치를 목적으로 상습체불사업주의 임금등 체불자료를 요청하는 경우 해당 자료를 제공할 수 있다.
2. 「국가를 당사자로 하는 계약에 관한 법률」 또는 「지방자치단체를 당사자로 하는 계약에 관한 법률」에 따른 입찰참가자격 사전심사나 낙찰자 심사ㆍ결정 시 감점 등 불이익 조치"
근로,근로기준법,43조 ④항,"제43조의4(상습체불사업주에 대한 보조ㆍ지원 제한 등)
④ 제3항에 따라 상습체불사업주의 임금등 체불자료를 제공받은 자는 제공받은 자료를 제3항 각 호에서 정한 목적 외의 목적으로 이용하거나 누설하여서는 아니 된다."
근로,근로기준법,43조 ⑤항,"제43조의4(상습체불사업주에 대한 보조ㆍ지원 제한 등)
⑤ 제3항에 따른 임금등 체불자료의 제공 절차 및 방법은 제43조의3제1항 단서 및 같은 조 제3항을 준용한다."
근로,근로기준법,43조 ⑥항,"제43조의4(상습체불사업주에 대한 보조ㆍ지원 제한 등)
⑥ 그 밖에 제1항제1호에 따른 3개월분 임금의 산정, 같은 항 제2호에 따른 임금등의 체불횟수 산정, 제2항에 따른 소명 기회 제공 및 제3항에 따라 제공되는 임금등 체불자료의 제공기간 등에 필요한 사항은 대통령령으로 정한다."
근로,근로기준법,43조 ①항,"제43조의5(업무위탁 등)
① 고용노동부장관은 제43조의2부터 제43조의4까지에 관한 업무를 효율적으로 하기 위하여 대통령령으로 정하는 바에 따라 업무 중 일부를 「산업재해보상보험법」 제10조에 따른 근로복지공단(이하 ""근로복지공단""이라 한다)이나 전문성을 갖춘 연구기관ㆍ법인ㆍ단체에 위탁할 수 있다."
근로,근로기준법,43조 ②항,"제43조의5(업무위탁 등)
② 제1항에 따라 위탁받은 기관의 임직원은 「형법」 제129조부터 제132조까지를 적용할 때에는 공무원으로 본다."
근로,근로기준법,43조 ①항 1호,"제43조의6(체불사업주 명단공개 등을 위한 자료제공 등의 요청)
① 고용노동부장관은 제43조의2에 따른 체불사업주 명단 공개, 제43조의3에 따른 임금등 체불자료의 제공, 제43조의4에 따른 상습체불사업주에 대한 중앙행정기관장등의 보조 및 지원 제한 등에 관한 업무를 수행하기 위하여 다음 각 호의 어느 하나에 해당하는 자료의 제공 또는 관계 전산망의 이용(이하 ""자료제공등""이라 한다)을 해당 각 호의 자에게 각각 요청할 수 있다.
1. 법원행정처장에게 체불사업주의 법인등기사항증명서"
근로,근로기준법,43조 ①항 2호,"제43조의6(체불사업주 명단공개 등을 위한 자료제공 등의 요청)
① 고용노동부장관은 제43조의2에 따른 체불사업주 명단 공개, 제43조의3에 따른 임금등 체불자료의 제공, 제43조의4에 따른 상습체불사업주에 대한 중앙행정기관장등의 보조 및 지원 제한 등에 관한 업무를 수행하기 위하여 다음 각 호의 어느 하나에 해당하는 자료의 제공 또는 관계 전산망의 이용(이하 ""자료제공등""이라 한다)을 해당 각 호의 자에게 각각 요청할 수 있다.
2. 국세청장에게 체불사업주의 「소득세법」 제4조제1항제1호에 따른 종합소득에 관한 자료, 「법인세법」 제4조제1항제1호에 따른 소득에 관한 자료, 「부가가치세법」 제8조, 「법인세법」 제111조 및 「소득세법」 제168조에 따른 사업자등록에 관한 자료"
근로,근로기준법,43조 ①항 3호,"제43조의6(체불사업주 명단공개 등을 위한 자료제공 등의 요청)
① 고용노동부장관은 제43조의2에 따른 체불사업주 명단 공개, 제43조의3에 따른 임금등 체불자료의 제공, 제43조의4에 따른 상습체불사업주에 대한 중앙행정기관장등의 보조 및 지원 제한 등에 관한 업무를 수행하기 위하여 다음 각 호의 어느 하나에 해당하는 자료의 제공 또는 관계 전산망의 이용(이하 ""자료제공등""이라 한다)을 해당 각 호의 자에게 각각 요청할 수 있다.
3. 국세청장에게 임금등이 체불된 근로자의 「소득세법」 제4조제1항제1호에 따른 종합소득에 관한 자료"
근로,근로기준법,43조 ①항 4호,"제43조의6(체불사업주 명단공개 등을 위한 자료제공 등의 요청)
① 고용노동부장관은 제43조의2에 따른 체불사업주 명단 공개, 제43조의3에 따른 임금등 체불자료의 제공, 제43조의4에 따른 상습체불사업주에 대한 중앙행정기관장등의 보조 및 지원 제한 등에 관한 업무를 수행하기 위하여 다음 각 호의 어느 하나에 해당하는 자료의 제공 또는 관계 전산망의 이용(이하 ""자료제공등""이라 한다)을 해당 각 호의 자에게 각각 요청할 수 있다.
4. 근로복지공단에 임금등이 체불된 근로자의 「고용보험 및 산업재해보상보험의 보험료징수 등에 관한 법률」 제16조의3에 따른 월평균보수에 관한 자료, 「고용보험법」 제13조 및 제15조에 따른 피보험자격 취득에 관한 자료 및 체불사업주의 「임금채권보장법」 제7조, 제7조의2 및 제8조에 따른 대지급금에 관한 자료"
근로,근로기준법,43조 ②항,"제43조의6(체불사업주 명단공개 등을 위한 자료제공 등의 요청)
② 고용노동부장관은 제1항제4호에 따른 월평균보수 및 피보험자격 취득에 관한 자료를 제공받기 위하여 해당 근로자의 임금, 근로제공기간 등 대통령령으로 정하는 정보를 근로복지공단에 제공할 수 있다."
근로,근로기준법,43조 ③항,"제43조의6(체불사업주 명단공개 등을 위한 자료제공 등의 요청)
③ 제1항에 따라 자료제공등을 요청받은 자는 정당한 사유가 없으면 그 요청에 따라야 한다."
근로,근로기준법,43조 ①항,"제43조의7(출국금지)
① 고용노동부장관은 제43조의2에 따라 명단이 공개된 체불사업주에 대하여 법무부장관에게 「출입국관리법」 제4조제3항에 따라 출국금지를 요청할 수 있다."
근로,근로기준법,43조 ②항,"제43조의7(출국금지)
② 법무부장관은 제1항의 요청에 따라 출국금지를 한 경우 고용노동부장관에게 그 결과를 정보통신망 등을 통하여 통보하여야 한다."
근로,근로기준법,43조 ③항,"제43조의7(출국금지)
③ 고용노동부장관은 체불임금의 지급 등으로 출국금지 사유가 없어진 경우 즉시 법무부장관에게 출국금지의 해제를 요청하여야 한다."
근로,근로기준법,43조 ④항,"제43조의7(출국금지)
④ 제1항부터 제3항까지에서 규정한 사항 외에 출국금지 및 그 해제의 요청 등의 절차에 필요한 사항은 대통령령으로 정한다."
근로,근로기준법,43조 ①항 1호,"제43조의8(체불 임금등에 대한 손해배상청구)
① 근로자는 사업주가 다음 각 호의 어느 하나에 해당하는 경우 법원에 사업주가 지급하여야 하는 임금등의 3배 이내의 금액을 지급할 것을 청구할 수 있다.
1. 명백한 고의로 임금등(「근로자퇴직급여 보장법」 제2조제5호의 급여는 제외한다. 이하 이 조에서 같다)의 전부 또는 일부를 지급하지 아니한 경우"
근로,근로기준법,43조 ①항 2호,"제43조의8(체불 임금등에 대한 손해배상청구)
① 근로자는 사업주가 다음 각 호의 어느 하나에 해당하는 경우 법원에 사업주가 지급하여야 하는 임금등의 3배 이내의 금액을 지급할 것을 청구할 수 있다.
2. 1년 동안 임금등의 전부 또는 일부를 지급하지 아니한 개월 수가 총 3개월 이상인 경우"
근로,근로기준법,43조 ①항 3호,"제43조의8(체불 임금등에 대한 손해배상청구)
① 근로자는 사업주가 다음 각 호의 어느 하나에 해당하는 경우 법원에 사업주가 지급하여야 하는 임금등의 3배 이내의 금액을 지급할 것을 청구할 수 있다.
3. 지급하지 아니한 임금등의 총액이 3개월 이상의 통상임금에 해당하는 경우"
근로,근로기준법,43조 ②항 1호,"제43조의8(체불 임금등에 대한 손해배상청구)
② 법원은 제1항에 따른 금액을 결정할 때에 다음 각 호의 사항을 고려하여야 한다.
1. 임금등의 체불 기간ㆍ경위ㆍ횟수 및 체불된 임금등의 규모"
근로,근로기준법,43조 ②항 2호,"제43조의8(체불 임금등에 대한 손해배상청구)
② 법원은 제1항에 따른 금액을 결정할 때에 다음 각 호의 사항을 고려하여야 한다.
2. 사업주가 임금등을 지급하기 위하여 노력한 정도"
근로,근로기준법,43조 ②항 3호,"제43조의8(체불 임금등에 대한 손해배상청구)
② 법원은 제1항에 따른 금액을 결정할 때에 다음 각 호의 사항을 고려하여야 한다.
3. 제37조에 따른 지연이자 지급액"
근로,근로기준법,43조 ②항 4호,"제43조의8(체불 임금등에 대한 손해배상청구)
② 법원은 제1항에 따른 금액을 결정할 때에 다음 각 호의 사항을 고려하여야 한다.
4. 사업주의 재산상태"
근로,근로기준법,53조 ①항,"제53조(연장 근로의 제한)
① 당사자 간에 합의하면 1주 간에 12시간을 한도로 제50조의 근로시간을 연장할 수 있다."
근로,근로기준법,53조 ②항,"제53조(연장 근로의 제한)
② 당사자 간에 합의하면 1주 간에 12시간을 한도로 제51조 및 제51조의2의 근로시간을 연장할 수 있고, 제52조제1항제2호의 정산기간을 평균하여 1주 간에 12시간을 초과하지 아니하는 범위에서 제52조제1항의 근로시간을 연장할 수 있다. <개정 2021.1.5>"
근로,근로기준법,53조 ③항 1호,"제53조(연장 근로의 제한)
③ 상시 30명 미만의 근로자를 사용하는 사용자는 다음 각 호에 대하여 근로자대표와 서면으로 합의한 경우 제1항 또는 제2항에 따라 연장된 근로시간에 더하여 1주 간에 8시간을 초과하지 아니하는 범위에서 근로시간을 연장할 수 있다. <신설 2018.3.20>
1. 제1항 또는 제2항에 따라 연장된 근로시간을 초과할 필요가 있는 사유 및 그 기간"
근로,근로기준법,53조 ③항 2호,"제53조(연장 근로의 제한)
③ 상시 30명 미만의 근로자를 사용하는 사용자는 다음 각 호에 대하여 근로자대표와 서면으로 합의한 경우 제1항 또는 제2항에 따라 연장된 근로시간에 더하여 1주 간에 8시간을 초과하지 아니하는 범위에서 근로시간을 연장할 수 있다. <신설 2018.3.20>
2. 대상 근로자의 범위"
근로,근로기준법,53조 ④항,"제53조(연장 근로의 제한)
④ 사용자는 특별한 사정이 있으면 고용노동부장관의 인가와 근로자의 동의를 받아 제1항과 제2항의 근로시간을 연장할 수 있다. 다만, 사태가 급박하여 고용노동부장관의 인가를 받을 시간이 없는 경우에는 사후에 지체 없이 승인을 받아야 한다. <개정 2010.6.4, 2018.3.20>"
